  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",1,0,0,1
"(4, 1)",0,0,1,0
"(5, 1)",1,0,0,1
"(6, 1)",1,0,1,0
"(7, 1)",1,0,0,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",1,0,1,0
"(16, 1)",1,0,0,1
"(17, 1)",1,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,1
"(23, 1)",0,0,1,1
"(24, 1)",1,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",1,0,1,0
"(28, 1)",1,0,0,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",1,0,1,1
"(33, 1)",1,0,1,0
"(34, 1)",0,0,0,1
"(35, 1)",1,0,1,1
"(36, 1)",1,0,1,1
"(37, 1)",0,0,1,1
"(38, 1)",1,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",1,0,1,1
"(41, 1)",1,0,1,0
"(42, 1)",1,0,0,1
"(43, 1)",0,0,1,1
"(44, 1)",1,0,1,0
"(45, 1)",1,0,0,1
"(46, 1)",1,0,1,1
"(47, 1)",0,0,1,1
"(48, 1)",1,0,1,0
"(49, 1)",1,0,0,1
"(50, 1)",1,0,1,0
"(51, 1)",1,0,0,1
"(52, 1)",0,0,1,1
"(53, 1)",1,0,1,0
"(54, 1)",1,0,0,1
"(55, 1)",0,0,1,1
"(56, 1)",1,0,1,1
"(57, 1)",1,0,1,1
"(58, 1)",1,0,1,1
"(59, 1)",0,0,1,1
"(60, 1)",1,0,1,0
"(1, 2)",1,0,0,1
"(2, 2)",0,1,1,1
"(3, 2)",0,1,1,1
"(4, 2)",1,0,1,1
"(5, 2)",0,1,1,0
"(6, 2)",1,1,0,1
"(7, 2)",1,1,1,0
"(8, 2)",1,0,0,1
"(9, 2)",0,1,1,1
"(10, 2)",1,0,1,1
"(11, 2)",1,0,1,0
"(12, 2)",0,1,0,1
"(13, 2)",1,0,1,0
"(14, 2)",1,0,0,1
"(15, 2)",0,1,1,0
